song_id,artist,title
77,The Heartbeats,A Thousand Miles Away
78,Shep and the Limelites,Daddy's Home
79,Patricia Smith and Don Fenton,Supercalafajalistickespeealadojus
80,Robert Sherman,Supercalifragilisticexpialidocious
81,Frank Nordstrom,Shalom
82,Jerry Herman,Shalom
83,Lorenzo Pack,I'm Afraid
84,The Supremes,Baby Love
85,Wilhelm Kienzl,O schone Jugendtage
86,Gerhard Wendland,Tanze mit mir in den Morgen
87,Ruth Stratchborneo,MOJO Workout
88,Muddy Waters,Got My Mojo Working
89,Armando Sciascia,Sogno Nostalgico
90,Jack Trombey,Girl in the Dark
91,The Chiffons,He's So Fine
92,George Harrison,My Sweet Lord
93,Leon Pober,Tiny Bubbles
94,Ernest Gold,Hiding the Wine
95,Andrews Sisters,Boogie Woogie Bugle Boy
96,Earl Wilson & Billy Cunningham,The Cunnilingus Champion of Co. C
97,Wilma Ferguson,Jeannie Michele
98,John Williams,Theme from 'A Time to Love'
99,Stephen Schwartz,Day by Day
100,Ray Ellis,"Theme for N.B.C.'s ""Today Show"""
101,Harry Warren,The Boulevard of Broken Dreams
102,Doumei Suzuki,One Rainy Night in Tokyo
103,Pantelis Ghinnis,Dirlada
104,Juan Bastos,Loop di Love
105,Philip J. Lipari,Kept on Singing
106,Helen Reddy,Keep on Singing
107,Ivan Gondos,Variations
108,Hagood Hardy,The Homecoming
109,Rudy and Jerry Toth,Moment of Love
110,Ronald Selle,Let It End
111,Bee Gees,How Deep Is Your Love
112,Howard Leslie Pendleton,Just a Blue Box
113,Elizabeth Jane Anderson,Mama's Shoe Box
114,Isaac Hayes,The Theme From Shaft
115,Benton and Bowles,Schlitz Beer TV Ad
116,Willie Dixon,I Need Love
117,Led Zeppelin,Whole Lotta Love
118,Steve Karmen,Budweiser/You've Said It All
119,Gavin Spencer,You Make America Work
120,John Benson,Don't Cha Know
121,The New Seekers,I'd Like to Buy the World a Coke
122,Johnny Mathis,When Sunny Gets Blue
123,Rick Dees,When Sonny Sniffs Glue
124,Leslie Baxter,Joy
125,John Williams,Theme from E.T.
126,Laura Siskind,Take a Chance on Love
127,Olivia Newton-John,Take a Chance
128,Cyril Verge,It's a Brand New World
129,Steven Benderoth,Hockey Night Theme
130,Tom Waits,Martha
131,David Dundas,Advertisement for Kenco Coffee
132,Rogers & Hammerstein,There is Nothin' Like a Dame
133,Denis King,Rapid Coach Service Advertisement
134,Louis Gaste,Pour Toi
135,Morris Kaiserman,Feelings
136,Julio Iglesias,Alle Liebe dieser Erde
137,Nicole,Ein bisschen Frieden
