year,country,case_name,court,complaining_work,defending_work,complaining_author,defending
1995,US,La Cienega Music Co. v. ZZ Top,9th Cir.,Boogie Chillen,La Grange,John Hooker and Bernard Besman,"William Gibbons, et al."
1995,US,Woods v. Bourne,2d Cir.,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",,Harry Woods,
1996,US,Palmieri v. Estefan,2d Cir.,Paginas De Mujer,Oye Mi Canto,Eddie Palmieri,Gloria Estefan
1996,US,Santrayll v. Burrell,S.D.N.Y.,Uh Oh,"Pepsi Ad featuring ""Hammer""",Rene Santrayll & Michael Walker,Stanley Kirk Burrell
1996,US,Smith v. Michael Jackson,9th Cir.,Don't Let the Sunshine / Happy Go Lucky Girl,The Girl is Mine,Robert Smith and Reynard Jones,Michael Jackson
1997,US,Damiano v. Sony,D.N.J.,Miscellaneous lyrics and instrumental arrangement,Dignity,James Damiano,Bob Dylan
1997,US,McRae v. Smith,D. Colo.,"Every Minute, Every Hour, Every Day",Every Second,Maree McRae,Wayne Perry and Gerald Smith
1997,US,Repp v. Webber,2d Cir.,Till You,Phantom Song,Ray Repp,Andrew Lloyd-Webber
1997,US,Tuff 'N' Rumble v. Profile Records,S.D.N.Y.,Impeach the President,Back from Hell,Robert Plant et al.,Joseph Simmonds et al.
1999,US,BTE v. Bonnecaze,E.D. La.,Coyote,,"Kevin Griffin, et al.",
1999,US,Ellis v. Diffie,6th Cir.,Lay Me Out By the Jukebox When I Die,Prop Me Up Beside the Jukebox (If I Die),Everett Ellis,Joe Diffie
1999,US,Selletti v. Carey,2d Cir.,Hero,Hero,Christopher Selletti,Mariah Carey
1999,US,Suzane McKinley v. Collin Raye,N.D.Tex.,I Think About You,I Think About You,Suzane McKinley,Steve Seskin & Collin Raye
1999,US,ZZ Top v. Chrysler Corp.,W.D. Wa.,La Grange,Promotional video for Plymouth Prowler,"Billy Gibbons, et al.",Chrysler Corporation
1999,DE,Anzilotti v. Hildenbeutel,OLG [Higher State Court] Munich,Green Grass Grows (Earth follows),Superstring,Snap!,Cygnus X
2000,US,Armstrong v. Virgin Records,S.D.N.Y.,Planetary Citizen,Unfinished Sympathy,"John McLaughlin, et al.","Robert Del Naja, et al"
2000,US,Three Boys Music v. Michael Bolton,9th Cir.,Love is a Wonderful Thing,Love is a Wonderful Thing,Isley Brothers,Michael Bolton and Andrew Goldmark
2000,US,Tisi v. Patrick,S.D.N.Y.,Sell Your Soul,Take A Picture,Michael Tisi,Richard Patrick
2000,FR,Bouffard v. Ministère Public,Cour d’Appel [Regional Court of Appeal] Toulouse,Various pop songs in SACEM catalog,Mashups of various songs in SACEM catalog,,
2000,FR,"Cooper v. Ogilvy & Mather, et al.",Tribunal de grande instance,The Lower we Fly,"""Pond's Nutrivits"" ads",Matthew Cooper,Ogilvy & Mather
2001,US,Oliviera v. Frito-Lay,2nd Cir.,Girl from Ipenama,Frito-Lay TV ad,Astrud Gilberto,Frito-Lay Corp.
2001,IT,Albano Carrisi v. Michael Jackson,Corte app. (Rome),I cigni di Balaka,Will You be There?,Albano Carrisi,Michael Jackson
2001,US,Marlon Williams v. Calvin Broadus,S.D.N.Y.,The Symphony,Ghetto Symphony,Marlon Williams,Calvin Broadus
2001,US,Johnson v. Berry,E.D. Mo.,Wee Wee Hours,,Chuck Berry and Johnnie Johnson,
2001,US,Toliver v. Sony Music,D. Alaska,Independent Lady,Independent Women,Paula Toliver,Destiny's Child
2002,UK,Creagh v. Hit and Run Music,Ch. Div.,Where are You Now,Where are You,Marianne Creagh,"Simon Stirling, et al."
2002,US,Jean et al. v. Bug Music,S.D.N.Y.,Hand Clapping Song,My Love is Your Love,"Leo Nocentelli, et al.",Nel Wyclef Jean and Jerry Duplessis
2002,UK,Malmstedt v. EMI Records,Ch. D.,Jenny and I,Sleeping in my Car,Stephan Malmstedt,Per Gessle
2002,DE,Weh v. Universal Music Publishing,LG [State Court] Munich,Heartbeat,Get Over You,WEH,Sophie Ellis-Bextor
2003,US,Cottrill v. Spears,E.D. Pa.,What You See is What You Get,"What U See is What U Get, Can't Make You Love Me",Michael Cottrill and Lawrence Wnukowski,"Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub"
2003,US,Newton v. Diamond,9th Cir.,Choir,Pass the Mic,James W. Newton,"Adam Yauch, et al."
2003,US,Ory v. Country Joe McDonald,C.D. Cal.,Muskrat Ramble,I Feel Like I'm Fixin' to  Die Rag,"Edward ""Kid"" Ory",Joe McDonald
2003,US,Jorgensen v. Epic/Sony Records,2d Cir.,Long Lost Lover,"My Heart Will Go On, Amazed",John L. Jorgensen,"James Horner, Will Jennings, Chris Lindsey, Aimee Mayo and Marv Green"
2003,DE,Ergin v. Kershaw,OLG [Higher State Court] Hamburg,Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,Wouldn't It Be Good,"Mehmet Ergin, Christoph Lienemann",[Unknown Composer]
2003,JP,Kobayashi v. Hatorri,Supreme Court of Japan,Dokomademo Ikou [Let's Go Anywhere],Kinenju [Memorial Tree],Asei Kobayashi,Katsuhisa Hattori
2004,PRC,Apollo v. Coca Cola,Beijing District Court,When the Sun Rises,Sunrise,Apollo Inc.,Coca-Cola (China) Inc.
2004,US,Swirsky v. Carey,9th Cir.,One of Those Love Songs,Thank God I Found You,Seth Swirsky and Warryn Campbell,Mariah Carey
2004,ZU,"Disney Enterprises, Inc. v. S.G. Griesel",High Court of South Africa,Mbube,The Lion Sleeps Tonight,Soloman Ntsele [p/k/a/ Linda],"Pete Seger et al. (From Disney's 1997 Broadway musical ""The Lion King"")"
2004,US,Ulloa v. Universal,S.D.N.Y.,Brief countermelody to defendant's song,Izzo (H.O.V.A.),Demme Ulloa,Shawn Carter
2005,US,BMS Entertainment v. Bridges,S.D.N.Y.,Straight Like That,Stand Up,"Ramid Brown, et al.",Christopher Bridges
2005,US,"Bridgeport Music v. Dimension Films, et al.",6th Cir.,Get Off Your Ass and Jam,100 Miles and Runnin',George Clinton,"Eric Wright, et al."
2005,UK,Coffey v. Warner/Chappell Music,Ch. D.,Forever After,Nothing Really Mattters,Elizabeth Coffey,Patrick Leonard & Madonna Ciccone
2005,US,Griffin v. J-Records,E.D. Wash.,Heart of Gold,Dance With My Father,Tia Griffin,"Richard Marx, Luther Vandross"
2005,US,Johnson v. Gordon,1st Cir.,You’re the One (For Me),You’re the One,Calvin R. Johnson,"Allen Gordon Jr., et al."
2005,US,Positive Black Talk v. Cash Money Records,5th Cir.,Back That Ass Up,Back That Azz Up,"Jerome Temple (""Jubilee"")","Terius Gray (""Juvenile"")"
2005,US,Vargas v. Pfizer,S.D.N.Y.,Bust Dat Groove Without Ride,Advertisement for Celebrex,Ralph Vargas and Bland-Ricky Roberts,"Brian Transeau, et al."
2005,PRC,Yong Wang v. Zhengben Zhu,"Beijing Court of Appeals, First District",Send My Comrade to Beijing,Farewell to the Red Army,Yong Wang,Zhengben Zhu
2005,IT,Bacalov v. Endrigo,Cass. civ.,Nelle mie notti,Il Postino,Sergio Endrigo,Luis Bacalov
2006,US,Boone v. Jackson,2d Cir.,Holla Back,Young 'N,"Carl Boone (""Trajik"")","John Jackson (""Fabolous"")"
2006,US,Tilford v. Jones,S.D. Tex,Still Tippin',Still Tippin',Bradley Tilford,"Michael Jones, et al."
2007,US,Armour v. Knowles,5th Cir.,Got a Little Bit of Love for You,Baby Boy,Jennifer Armour,Beyoncé Knowles
2007,US,Bridgeport Music v. Combs,6th Cir.,Singing in the Morning,Ready to Die,"Robert Jones, et al.",Christopher Wallace
2007,US,"Lil' Joe Wein Music, Inc. v. Jackson",11th Cir.,It's Your Birthday,In Da Club,Luther Campbell,"Curtis James Jackson aka ""50 Cent"""
2007,TWN,People v. Hu,Taiwan Pingtong Appellate Court,Lianshang Love Song,Bye Bye My Lover!,Lo,Hu
2007,US,Vargas v. Transeau,S.D.N.Y.,Aparthenonia,Bust Dat Groove Without Ride,Ralph Vargas and Bland-Ricky Roberts,Brian Transeau
