case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
42,1950,US,"Shapiro, Bernstein v. Miracle Record",https://blogs.law.gwu.edu/mcir/case/shapiro-bernstein-v-miracle-record/,N.D. Ill.,Yancey Special,Meade Lewis,Long Gone,Alphonso Tompkins and Lewis Simpkins
43,1951,US,Jones v. Supreme Music,https://blogs.law.gwu.edu/mcir/case/jones-v-supreme-music/,S.D.N.Y.,Just an Old Fashioned Mother and Dad,Thelma Jones,Near You,Francis Craig
44,1952,US,Northern Music v. King Record Distribution,https://blogs.law.gwu.edu/mcir/case/northern-music-v-king-record-distribution/,S.D.N.Y.,Tonight He Sailed Again,Guy B. Wood and Sol Marcus,"I Love You, Yes I Do",Henry B. Glover
45,1953,US,Overman v. Loesser,https://blogs.law.gwu.edu/mcir/case/overman-v-loesser/,9th Cir.,Wonderful You,Robert Overman,On a Slow Boat to China,Frank Loesser
46,1954,US,Robbins v. Alamo,https://blogs.law.gwu.edu/mcir/robbins-v-alamo,S.D.N.Y.,"Theme for TV show ""Dragnet""",Walter Schumann,"Theme for 1946 movie, ""The Killers""",Miklos Rozsa
47,1954,US,Mills Music v. Cromwell Music,https://blogs.law.gwu.edu/mcir/case/mills-music-inc-v-cromwell-music-inc/,S.D.N.Y.,"Tzena, Tzena",Issachar Miron & Julius Grossman,"Tzena, Tzena",Issachar Miron & Julius Grossman
48,1956,US,Robertson v. Batten,https://blogs.law.gwu.edu/mcir/case/robertson-v-batten-barton-durstine-osborne/,S.D. Cal.,The Happy Whistler,Donald Irwin Robertson,Ad for San Francisco Brewing Company,"Song Ads, Inc."
49,1956,US,Smith v. Muehlebach Brewing,https://blogs.law.gwu.edu/mcir/case/smith-v-muehlebach-brewing/,W.D. Mo.,Proposed Advertising Jingle for Muehlebach Beer,Leonard Smith,Time for Muehlebach,Muehlebach Brewing
50,1956,US,Wihtol v. Wells,https://blogs.law.gwu.edu/mcir/case/wihtol-v-wells/,7th Cir.,My God and I,I.B. Sergei (Wihtol),My God and I,Kenneth H. Wells
51,1958,US,Cholvin v. B & F Music,https://blogs.law.gwu.edu/mcir/case/cholvin-v-b-f-music-co/,7th Cir.,When the Sun Bids the Sky Goodnight,Homer Cholvin and Norman Stade,While We Dream,Kaczmarek
52,1959,US,Dorchester Music v. National Broadcasting Company,https://blogs.law.gwu.edu/mcir/case/dorchester-music-v-national-broadcasting-company/,S.D. Cal.,Rendezvous,Fred Spielman,I Dreamed,Charles Green
